house,pen,house_pen,treatment,animalnr_col,"I, S1, S2",swab0,swab0_hour,swab0_date,swab0_pathogen,swab1,swab1_hour,swab1_date,swab1_pathogen,swab2,swab2_date,swab2_hour,swab2_pathogen,swab3,swab3_date,swab3_hour,swab3_pathogen,swab4,swab4_date,swab4_hour,swab4_pathogen,swab5,swab5_date,swab5_hour,swab5_pathogen,swab6,swab6_date,swab6_hour,swab6_pathogen,swab7,swab7_date,swab7_hour,swab7_pathogen,swab8,swab8_date,swab8_hour,swab8_pathogen,swab9,swab9_date,swab9_hour,swab9_pathogen,swab10,swab10_date,swab10_hour,swab10_pathogen,swab11,swab11_date,swab11_hour,swab11_pathogen,swab12,swab12_date,swab12_hour,swab12_pathogen,swab13,swab13_date,swab13_hour,swab13_pathogen,swab14,swab14_date,swab14_hour,swab14_pathogen,swab15,swab15_date,swab15_hour,swab15_pathogen,swab16,swab16_date,swab16_hour,swab16_pathogen,swab17,swab17_date,swab17_hour,swab17_pathogen
1,S1,H1_S1,control,3_Ge,S2,-,08:00,5,,-,16:00,5,,-*,6,08:00,,-*,7,08:00,,-,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,-,15,08:00,,-,16,08:00,,-,17,08:00,,-,18,08:00,,++,19,08:00,,++,20,08:00,,++,21,08:00,
1,S1,H1_S1,control,10_Ge,S2,-,08:00,5,,-,16:00,5,,-,6,08:00,,-,7,08:00,,-,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,-,15,08:00,,-,16,08:00,,-*,17,08:00,,+*? 1,18,08:00,,-*,19,08:00,,++,20,08:00,,++,21,08:00,
1,S1,H1_S1,control,13_Ge,S2,-,08:00,5,,-*,16:00,5,,-,6,08:00,,-,7,08:00,,-,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,-,15,08:00,,-,16,08:00,,-,17,08:00,,-*,18,08:00,,-*,19,08:00,,++,20,08:00,,++,21,08:00,
1,S1,H1_S1,control,31_Ge,S2,-*,08:00,5,,-*,16:00,5,,-*,6,08:00,,-,7,08:00,,-*,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,? -*,14,08:00,,-,15,08:00,,-,16,08:00,,-*,17,08:00,,+*,18,08:00,,+*?,19,08:00,,++,20,08:00,,++,21,08:00,
1,S1,H1_S1,control,36_Ge,S2,-*,08:00,5,,-*,16:00,5,,-,6,08:00,,-*,7,08:00,,-,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,-,15,08:00,,-,16,08:00,,-*,17,08:00,,+*,18,08:00,,-*,19,08:00,,++*,20,08:00,,++,21,08:00,
1,S1,H1_S1,control,41_Ge,S2,-*,08:00,5,,-*,16:00,5,,-*,6,08:00,,-*,7,08:00,Acinetobacter pittii,-,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,-,15,08:00,,-,16,08:00,,-*,17,08:00,,-*,18,08:00,,-*,19,08:00,,++,20,08:00,,++,21,08:00,
1,S1,H1_S1,control,43_Ge,S2,-*,08:00,5,Acinetobacter pittii,-*,16:00,5,,-*,6,08:00,,-*,7,08:00,,-,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,-,15,08:00,,-,16,08:00,,-*,17,08:00,,-*,18,08:00,,+*?,19,08:00,,++,20,08:00,,++,21,08:00,
1,S1,H1_S1,control,46_Ge,S2,-*,08:00,5,,-*,16:00,5,,-,6,08:00,,-*,7,08:00,,-*,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,-,15,08:00,,-,16,08:00,,-*,17,08:00,,+* 20,18,08:00,,+*?,19,08:00,,++,20,08:00,,++,21,08:00,
1,S1,H1_S1,control,56_Ge,S2,-,08:00,5,,-,16:00,5,,-*,6,08:00,,-,7,08:00,,-,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,-,15,08:00,,-,16,08:00,,-*,17,08:00,,-,18,08:00,,+*?,19,08:00,,++,20,08:00,,++,21,08:00,
1,S1,H1_S1,control,62_Ge,S2,-*,08:00,5,,-*,16:00,5,,-,6,08:00,,-*,7,08:00,,-,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,-,15,08:00,,-,16,08:00,,-*,17,08:00,,-*,18,08:00,,++,19,08:00,,++,20,08:00,,++*,21,08:00,
1,S2,H1_S2,control,5_Ge,S2,-*,08:00,5,,-*,16:00,5,,-*,6,08:00,,-*,7,08:00,,-,8,08:00,,-,9,08:00,,-*,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-*,14,08:00,,-,15,08:00,,-*,16,08:00,,-*,17,08:00,,-*,18,08:00,,+*?,19,08:00,,++*,20,08:00,,++,21,08:00,
1,S2,H1_S2,control,9_Ge,S2,-,08:00,5,,-,16:00,5,,-*,6,08:00,,-*,7,08:00,,-,8,08:00,,-*,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,+*,15,08:00,,-*,16,08:00,,+ ? *,17,08:00,,+*,18,08:00,,+*?,19,08:00,,+*,20,08:00,,++,21,08:00,
1,S2,H1_S2,control,11_Ge,S2,-,08:00,5,,-,16:00,5,,-*,6,08:00,,-*,7,08:00,,-*,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,-,15,08:00,,-*,16,08:00,,-*,17,08:00,,-*,18,08:00,,+* 1,19,08:00,,+* 20,20,08:00,,+*,21,08:00,
1,S2,H1_S2,control,19_Ge,S2,-*,08:00,5,,-,16:00,5,,-*,6,08:00,,-*,7,08:00,,-*,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,-*,15,08:00,,-*,16,08:00,,-*,17,08:00,,-*,18,08:00,,+* 1,19,08:00,,+*,20,08:00,,-*,21,08:00,
1,S2,H1_S2,control,26_Ge,S2,-*,08:00,5,,-,16:00,5,,-,6,08:00,,-*,7,08:00,,-,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,++,13,08:00,,-*,14,08:00,,+*,15,08:00,,-,16,08:00,,+? *,17,08:00,,+*,18,08:00,,+*,19,08:00,,++,20,08:00,,++,21,08:00,
1,S2,H1_S2,control,28_Ge,S2,-*,08:00,5,,-,16:00,5,,-*,6,08:00,,-*,7,08:00,,-,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,-*,15,08:00,,-*,16,08:00,,-*,17,08:00,,+*,18,08:00,,+*,19,08:00,,+*,20,08:00,,++,21,08:00,
1,S2,H1_S2,control,32_Ge,S2,-*,08:00,5,,-*,16:00,5,,-*,6,08:00,,-*,7,08:00,,-,8,08:00,,-,9,08:00,,-,10,08:00,,-,11,08:00,,-,12,08:00,,-,13,08:00,,-,14,08:00,,-,15,08:00,,-*,16,08:00,,-*,17,08:00,,-*,18,08:00,,-*,19,08:00,,+*,20,08:00,,++*,21,08:00,Escherichia coli/Acinetobacter pittii
